name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,iteration
Instance_500_50_,500,50,10,3.048868179,9.326,9.354789938,0.308706176,2,183.7677481,V4 BLS
Instance_500_50_,500,50,10,3.554969072,9.337,9.349583334,0.134768486,2,451.288312,V4 BLS
Instance_500_50_,500,50,10,3.253628731,9.366,9.427659258,0.658330748,2,553.5214851,V4 BLS
Instance_500_50_,500,50,10,3.97951889,9.382000015,9.38675801,0.050714076,2,668.2243471,V4 BLS
Instance_500_50_,500,50,10,3.21246171,9.387,9.417605738,0.326043864,2,987.1994212,V4 BLS
Instance_500_50_,500,50,10,4.150658131,9.391000005,9.397190493,0.065919372,2,1261.209002,V4 BLS
Instance_500_50_,500,50,10,3.884515762,9.407,9.42157413,0.154928561,2,1377.382759,V4 BLS
Instance_500_50_,500,50,10,3.448108196,9.432,9.468438128,0.386324507,2,1686.077064,V4 BLS
Instance_500_50_,500,50,10,3.564638853,9.467,9.495926924,0.305555335,2,1972.138357,V4 BLS
Instance_500_50_,500,50,10,3.785605907,9.502000004,9.5055,0.036834305,2,2253.663606,V4 BLS
Instance_500_50_,500,50,10,3.37558198,9.537000001,9.569647769,0.342327448,2,2615.254351,V4 BLS
Instance_500_50_,500,50,10,3.29103899,9.547000002,9.578242132,0.327245522,2,2716.36356,V4 BLS
Instance_500_50_,500,50,10,3.430319786,9.587000005,9.608541908,0.224699103,2,2821.219821,V4 BLS
Instance_500_50_,500,50,10,4.035238981,9.607,9.614906912,0.082303653,2,3350.678206,V4 BLS
Instance_500_50_,500,50,10,3.652023077,9.621,9.645338971,0.252977558,2,3451.175666,V4 BLS
Instance_500_50_,500,50,10,4.017652035,9.637000005,9.69725617,0.625258534,2,3590.103873,V4 BLS
Instance_500_50_,500,50,50,20.48338103,9.547000009,9.558500009,0.120456688,2,22.58238006,0
Instance_500_50_,500,50,50,21.81375623,9.5655,9.566000009,0.005227208,2,203.4300351,V4 BLS
Instance_500_50_,500,50,50,21.29429507,9.578,9.5815,0.036542076,2,564.4064319,V4 BLS
Instance_500_50_,500,50,50,23.22885871,9.5895,9.590000007,0.00521411,2,733.2383511,V4 BLS
Instance_500_50_,500,50,50,20.86536908,9.6055,9.6165,0.114517724,2,1280.202252,V4 BLS
Instance_500_50_,500,50,100,50.64612079,9.9521,9.952850002,0.00753612,2,55.76687694,0
Instance_500_50_,500,50,100,52.24043202,9.9601,9.960750001,0.006526053,2,400.3265197,V4 BLS
Instance_500_50_,500,50,100,49.55605197,9.984650006,9.989450006,0.048073793,2,2298.09202,V4 BLS
Instance_500_50_,500,50,150,79.47240233,9.7781,9.779035621,0.009568537,2,83.34649301,0
Instance_500_50_,500,50,150,78.71663475,9.788488889,9.789441118,0.009728051,2,251.5083122,V4 BLS
Instance_500_50_,500,50,150,78.40346384,9.797466667,9.798433741,0.009870655,2,750.236306,V4 BLS
Instance_500_50_,500,50,150,78.77970004,9.797522222,9.79834545,0.00840241,2,3588.906669,V4 BLS
Instance_500_50_,500,50,200,115.1580741,9.883800001,9.885850001,0.020741011,2,120.5108249,0
Instance_500_50_,500,50,200,123.5854111,9.89415,9.894850002,0.007074907,2,625.57587,V4 BLS
Instance_500_50_,500,50,200,116.9767561,9.895400001,9.902250001,0.069224084,2,1390.309182,V4 BLS
Instance_500_50_,500,50,200,116.2555573,9.90235,9.90585,0.035345145,2,1760.141832,V4 BLS
Instance_500_100_,500,100,10,5.849230051,10.0945,10.12633884,0.315407811,2,7.106906176,0
Instance_500_100_,500,100,10,5.895195246,10.146,10.15356983,0.074609019,2,45.86055803,V4 BLS
Instance_500_100_,500,100,10,7.19542098,10.1665,10.16650006,5.92187E-07,2,828.6059461,V4 BLS
Instance_500_100_,500,100,10,6.347041845,10.168,10.2110008,0.422903147,2,1265.023574,V4 BLS
Instance_500_100_,500,100,10,7.083870888,10.178,10.19498438,0.166873448,2,3248.520526,V4 BLS
Instance_500_100_,500,100,50,30.22758508,10.101,10.10100001,7.33187E-08,2,32.62308288,0
Instance_500_100_,500,100,50,28.99908185,10.108,10.121,0.128611001,2,66.85166287,V4 BLS
Instance_500_100_,500,100,50,29.59966207,10.1115,10.11250001,0.009889803,2,291.9458148,V4 BLS
Instance_500_100_,500,100,50,28.70547318,10.1225,10.1255,0.029636947,2,1113.85427,V4 BLS
Instance_500_100_,500,100,50,28.13737583,10.1495,10.158,0.083747968,2,1242.902063,V4 BLS
Instance_500_100_,500,100,50,28.59150839,10.16,10.172,0.118110236,2,1402.963881,V4 BLS
Instance_500_100_,500,100,100,71.55194497,10.40835,10.40835,7.89288E-09,2,79.86773396,0
Instance_500_100_,500,100,150,113.2206552,10.12661111,10.12694109,0.003258548,2,120.4690239,0
Instance_500_100_,500,100,150,110.0587111,10.1345,10.13537302,0.008614289,2,362.151943,V4 BLS
Instance_500_100_,500,100,150,114.1866632,10.13695556,10.13749346,0.005306418,2,850.6160469,V4 BLS
Instance_500_100_,500,100,150,115.4910359,10.15093333,10.151919,0.009710067,2,2545.165861,V4 BLS
Instance_500_100_,500,100,150,124.7407401,10.15394444,10.15472104,0.007648167,2,2799.538587,V4 BLS
Instance_500_100_,500,100,150,112.0897791,10.16155556,10.1620399,0.004766392,2,3040.470946,V4 BLS
Instance_500_100_,500,100,150,135.8097899,10.17528889,10.17592427,0.006244315,2,3581.681074,V4 BLS
Instance_500_100_,500,100,200,138.0338879,10.29585,10.29905,0.031080484,2,148.7888336,0
Instance_500_100_,500,100,200,143.3428032,10.3058,10.30745,0.016010402,2,2087.057361,V4 BLS
Instance_500_100_,500,100,200,136.8214159,10.31885,10.31945,0.005814635,2,3336.277301,V4 BLS
Instance_900_16_,900,16,10,3.200614214,8.4275,8.434948454,0.088382719,2,4.091520071,0
