Elapsed time: 7.436271905899048
OnTime_1 11 1 130 0
OnTime_1 11 2 130 0
OnTime_1 11 1 137 0
OnTime_1 11 2 137 0
OnTime_1 11 1 145 0
OnTime_1 11 2 145 0
OnTime_1 11 1 146 0
OnTime_1 11 2 146 0
OnTime_1 11 1 164 0
OnTime_1 11 2 164 0
OnTime_1 11 1 173 0
OnTime_1 11 2 173 0
OnTime_1 11 1 174 0
OnTime_1 11 2 174 0
OnTime_1 11 1 175 0
OnTime_1 11 2 175 0
OnTime_1 11 1 176 0
OnTime_1 11 2 176 0
OnTime_1 11 1 177 0
OnTime_1 11 2 177 0
OnTime_1 11 1 179 0
OnTime_1 11 2 179 0
OnTime_1 11 1 183 -0
OnTime_1 11 2 183 0
OnTime_1 11 1 186 1
OnTime_1 11 2 186 -0
OnTime_1 11 1 187 0
OnTime_1 11 2 187 0
OnTime_1 11 1 188 0
OnTime_1 11 2 188 0
OnTime_1 11 1 190 0
OnTime_1 11 2 190 0
OnTime_1 11 1 198 0
OnTime_1 11 2 198 0
OnTime_1 11 1 209 0
OnTime_1 11 2 209 0
OnTime_1 12 1 63 0
OnTime_1 12 2 63 0
OnTime_1 12 1 66 1
OnTime_1 12 2 66 0
OnTime_1 12 1 67 0
OnTime_1 12 2 67 0
OnTime_1 12 1 72 0
OnTime_1 12 2 72 0
OnTime_1 12 1 75 0
OnTime_1 12 2 75 0
OnTime_1 12 1 86 0
OnTime_1 12 2 86 0
OnTime_1 12 1 88 0
OnTime_1 12 2 88 0
OnTime_1 12 1 95 0
OnTime_1 12 2 95 0
OnTime_1 12 1 121 0
OnTime_1 12 2 121 0
OnTime_1 12 1 123 0
OnTime_1 12 2 123 0
OnTime_1 12 1 124 0
OnTime_1 12 2 124 0
OnTime_1 12 1 128 0
OnTime_1 12 2 128 0
OnTime_1 12 1 129 0
OnTime_1 12 2 129 0
OnTime_1 12 1 130 0
OnTime_1 12 2 130 0
OnTime_1 12 1 137 0
OnTime_1 12 2 137 0
OnTime_1 12 1 145 0
OnTime_1 12 2 145 0
OnTime_1 12 1 146 0
OnTime_1 12 2 146 0
OnTime_1 12 1 164 0
OnTime_1 12 2 164 0
OnTime_1 12 1 173 0
OnTime_1 12 2 173 0
OnTime_1 12 1 174 0
OnTime_1 12 2 174 0
OnTime_1 12 1 175 0
OnTime_1 12 2 175 0
OnTime_1 12 1 176 0
OnTime_1 12 2 176 0
OnTime_1 12 1 177 0
OnTime_1 12 2 177 0
OnTime_1 12 1 179 0
OnTime_1 12 2 179 0
OnTime_1 12 1 183 0
OnTime_1 12 2 183 0
OnTime_1 12 1 186 0
OnTime_1 12 2 186 0
OnTime_1 12 1 187 0
OnTime_1 12 2 187 0
OnTime_1 12 1 188 0
OnTime_1 12 2 188 0
OnTime_1 12 1 190 0
OnTime_1 12 2 190 0
OnTime_1 12 1 198 0
OnTime_1 12 2 198 0
OnTime_1 12 1 209 0
OnTime_1 12 2 209 0
OnTime_1 13 1 63 0
OnTime_1 13 2 63 0
OnTime_1 13 1 66 -0
OnTime_1 13 2 66 0
OnTime_1 13 1 67 0
OnTime_1 13 2 67 0
OnTime_1 13 1 72 0
OnTime_1 13 2 72 0
OnTime_1 13 1 75 0
OnTime_1 13 2 75 0
OnTime_1 13 1 86 0
OnTime_1 13 2 86 0
OnTime_1 13 1 88 0
OnTime_1 13 2 88 0
OnTime_1 13 1 95 0
OnTime_1 13 2 95 0
OnTime_1 13 1 121 0
OnTime_1 13 2 121 0
OnTime_1 13 1 123 0
OnTime_1 13 2 123 0
