mejoró 1.6305  GRASP
no mejoró 1.844 en initial L 49 con j = 68 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 68 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 69 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 70 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 71 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 72 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 73 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 73 localsearch 10LS3
no mejoró 1.8645 en initial L 49 con j = 74 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 75 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 76 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 77 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 77 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 78 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 78 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 79 localsearch 10LS1
no mejoró 1.856 en initial L 49 con j = 80 localsearch 10LS1
no mejoró 1.856 en initial L 49 con j = 81 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 82 localsearch 10LS1
no mejoró 1.856 en initial L 49 con j = 83 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 84 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 85 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 85 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 86 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 87 localsearch 10LS1
no mejoró 1.8705 en initial L 49 con j = 88 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 89 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 90 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 91 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 92 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 93 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 94 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 94 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 95 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 95 localsearch 10LS3
