 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Número,Demanda ,Punto,Proporción
14/01/2022,19:14:00,la luz,"25.5972498, -100.2505491",,,,
15/01/2022,17:27:00,la luz,"25.6866142, -100.3161126",,,,
15/01/2022,21:12:00,la luz,"25.6032934, -100.1787713",,,,
20/01/2022,17:00:00,lago erie,"25.6023415, -100.2623667",,,,
06/01/2022,18:11:00,laredo,"25.7106286, -100.347096",,,,
26/01/2022,19:10:00,las rocas,"25.7550514, -100.3769182",,,,
10/01/2022,16:05:00,lazaro cardenas,"25.621335, -100.285074",,,,
11/01/2022,17:54:00,lazaro cardenas,"25.6290318, -100.2854309",,,,
11/01/2022,20:34:00,lazaro cardenas,"25.6993959, -100.3574315",,,,
16/01/2022,17:04:00,lazaro cardenas,"25.6266079, -100.2933941",,,,
22/01/2022,19:00:00,lazaro cardenas,"25.6266079, -100.2933941",,,,
24/01/2022,08:24:00,lazaro cardenas,"25.6341089, -100.3060995",,,,
24/01/2022,09:55:00,lazaro cardenas,"25.621335, -100.285074",,,,
25/01/2022,16:47:00,lazaro cardenas,"25.6346933, -100.3070991",,,,
30/01/2022,20:38:00,lazaro cardenas,"25.6346933, -100.3070991",,,,
24/01/2022,14:31:00,leon guzman,"25.6615986, -100.3011313",,,,
03/01/2022,16:15:00,leones,"25.7522425, -100.4170464",,,,
04/01/2022,16:21:00,leones,"25.7218184, -100.3909118",,,,
04/01/2022,17:31:00,leones,"25.7214946, -100.2281834",,,,
04/01/2022,17:31:00,leones,"25.7214946, -100.2281834",,,,
05/01/2022,17:26:00,leones,"25.7331208, -100.3997722",,,,
05/01/2022,23:04:00,leones,"25.7528291, -100.4350896",,,,
06/01/2022,16:10:00,leones,"25.7528291, -100.4350896",,,,
06/01/2022,20:41:00,leones,"25.6966796, -100.3477248",,,,
06/01/2022,22:20:00,leones,"25.7151523, -100.3814323",,,,
07/01/2022,16:50:00,leones,"25.748986, -100.4093014",,,,
07/01/2022,21:36:00,leones,"25.6968778, -100.3508409",,,,
07/01/2022,21:43:00,leones,"25.6966796, -100.3477248",,,,
08/01/2022,21:00:00,leones,"25.7151523, -100.3814323",,,,
09/01/2022,20:34:00,leones,"25.7214946, -100.2281834",,,,
09/01/2022,23:11:00,leones,"25.7214946, -100.2281834",,,,
10/01/2022,16:31:00,leones,"25.7214946, -100.2281834",,,,
11/01/2022,19:15:00,leones,"25.748986, -100.4093014",,,,
11/01/2022,1899-12-30 00:00:00,leones,"25.7151523, -100.3814323",,,,
12/01/2022,19:35:00,leones,"25.7214946, -100.2281834",,,,
14/01/2022,16:15:00,leones,"25.6966796, -100.3477248",,,,
16/01/2022,17:02:00,leones,"25.7214946, -100.2281834",,,,
16/01/2022,17:45:00,leones,"25.7503835, -100.4302353",,,,
18/01/2022,16:21:00,leones,"25.6966796, -100.3477248",,,,
19/01/2022,18:38:00,leones,"25.6966796, -100.3477248",,,,
19/01/2022,20:15:00,leones,"25.7214946, -100.2281834",,,,
20/01/2022,19:39:00,leones,"25.7154063, -100.3818563",,,,
22/01/2022,23:23:00,leones,"25.7143915, -100.3805725",,,,
23/01/2022,19:56:00,leones,"25.7522425, -100.4170464",,,,
23/01/2022,20:16:00,leones,"25.7143915, -100.3805725",,,,
23/01/2022,23:28:00,leones,"25.7143915, -100.3805725",,,,
25/01/2022,18:12:00,leones,"25.7214946, -100.2281834",,,,
25/01/2022,18:26:00,leones,"25.6966796, -100.3477248",,,,
25/01/2022,18:28:00,leones,"25.7214946, -100.2281834",,,,
